step,loss
0,10.11220932006836
1,9.973502159118652
2,9.794300079345703
3,9.599353790283203
4,9.352865219116211
5,9.216453552246094
6,9.056474685668945
7,8.938211441040039
8,8.764726638793945
9,8.506157875061035
10,8.221990585327148
11,7.8930983543396
12,7.393190860748291
13,7.2794694900512695
14,7.134825706481934
15,7.066218852996826
16,7.0986328125
17,7.027076721191406
18,6.984617233276367
19,6.824066162109375
20,6.829339981079102
21,6.76086950302124
22,6.894144535064697
23,6.590763092041016
24,6.63106632232666
25,6.719470024108887
26,6.4864349365234375
27,6.577056407928467
28,6.84294319152832
29,6.434520721435547
30,6.707052230834961
31,6.125184059143066
32,6.096199035644531
33,6.371908187866211
34,6.328492164611816
35,6.511977195739746
36,6.490959167480469
37,6.2470574378967285
38,6.161833763122559
39,6.447253227233887
40,6.166834354400635
41,6.339025497436523
42,6.216488838195801
43,6.004647731781006
44,5.871466159820557
45,5.717008113861084
46,5.902275085449219
47,6.010013103485107
48,6.074504852294922
49,6.109757423400879
50,5.90522575378418
51,5.776426315307617
52,6.076638221740723
53,5.781471252441406
54,5.8771162033081055
55,6.056534767150879
56,5.809266090393066
57,5.856548309326172
58,6.007441520690918
59,5.399423599243164
60,5.2185516357421875
61,5.653049945831299
62,6.038814544677734
63,5.582694053649902
64,5.516073226928711
65,5.284790992736816
66,5.524706840515137
67,5.197595596313477
68,5.335773944854736
69,5.743813991546631
70,5.795804023742676
71,5.511640548706055
72,5.4757399559021
73,5.568734645843506
74,5.59626579284668
75,5.5387701988220215
76,5.559231758117676
77,5.946267127990723
78,5.529428958892822
79,5.028066158294678
80,5.506320953369141
81,5.549251079559326
82,5.304646968841553
83,5.270031929016113
84,5.570611000061035
85,4.934873580932617
86,5.6846418380737305
87,4.818909168243408
88,4.7765960693359375
89,5.160686016082764
90,5.4398088455200195
91,5.269982814788818
92,5.255483150482178
93,5.294391632080078
94,5.4121198654174805
95,4.810612201690674
96,5.633901119232178
97,5.128920078277588
98,5.073909759521484
99,5.1632537841796875
100,5.0347466468811035
101,5.076789855957031
102,5.081385612487793
103,5.172037124633789
104,5.105111122131348
105,5.077466011047363
106,5.081308364868164
107,5.292684555053711
108,4.771637916564941
109,4.947468280792236
110,5.056014060974121
111,4.879448890686035
112,5.297877311706543
113,4.977452754974365
114,4.870051383972168
115,5.219125270843506
116,5.019244194030762
117,4.788888931274414
118,5.183480262756348
119,5.09659481048584
120,5.213523864746094
121,4.874876499176025
122,4.9809184074401855
123,5.071172714233398
124,5.115236282348633
125,5.199625015258789
126,4.984986305236816
127,4.644706726074219
128,4.7015838623046875
129,5.0621562004089355
130,5.037309646606445
131,5.170971870422363
132,4.84285306930542
133,4.373388290405273
134,4.993574142456055
135,4.884885787963867
136,4.552370548248291
137,5.200165748596191
138,5.047120094299316
139,5.316466808319092
140,4.935894012451172
141,5.197295665740967
142,4.862008571624756
143,5.118017673492432
144,4.8930158615112305
145,4.650851249694824
146,5.063880920410156
147,5.1818132400512695
148,4.7663984298706055
149,4.989781379699707
150,4.988397598266602
151,4.673971176147461
152,5.134641647338867
153,4.710857391357422
154,5.043463706970215
155,4.954270839691162
156,5.1765947341918945
157,5.261112213134766
158,5.004077911376953
159,5.433497428894043
160,4.875046730041504
161,5.096370697021484
162,4.651716709136963
163,4.55744743347168
164,5.119719505310059
165,4.5095930099487305
166,4.816214561462402
167,4.572208881378174
168,4.607842445373535
169,4.552300930023193
170,4.863378524780273
171,4.614619255065918
172,4.597655296325684
173,4.89564847946167
174,4.872646331787109
175,4.428091049194336
176,4.747886657714844
177,4.863617897033691
178,5.003046035766602
179,4.902298927307129
180,4.273852348327637
181,4.616424083709717
182,4.341670036315918
183,4.831456184387207
184,4.550439357757568
185,4.5860490798950195
186,5.129354000091553
187,4.798553466796875
188,4.841353416442871
189,4.443878173828125
190,4.861321449279785
191,4.617208480834961
192,4.733912944793701
193,4.990840911865234
194,4.819440841674805
195,4.668112754821777
196,4.477787494659424
197,4.827110290527344
198,4.736814498901367
199,5.036764621734619
200,5.051232814788818
201,4.565959930419922
202,4.568978309631348
203,4.8521342277526855
204,4.536048412322998
205,4.367959976196289
206,4.603573322296143
207,4.3138909339904785
208,4.87355899810791
209,4.830962657928467
210,4.344659805297852
211,4.395549774169922
212,5.009105682373047
213,4.578845977783203
214,4.93392276763916
215,4.373054504394531
216,4.869508743286133
217,5.0353851318359375
218,4.336897373199463
219,4.892394065856934
220,4.304308891296387
221,4.766860485076904
222,4.378425598144531
223,4.38805627822876
224,4.64370059967041
225,3.7416040897369385
226,4.665043830871582
227,4.553650856018066
228,4.299309730529785
229,4.7844038009643555
230,4.445467948913574
231,4.41572380065918
232,4.451033115386963
233,4.402472496032715
234,4.293091773986816
235,4.744433403015137
236,4.090875625610352
237,4.827010154724121
238,4.432991981506348
239,4.156342029571533
240,4.769371032714844
241,4.1420793533325195
242,4.407406330108643
243,4.110429763793945
244,4.500570297241211
245,4.546107769012451
246,4.850882053375244
247,4.432866096496582
248,4.598515510559082
249,4.443807125091553
250,4.339428424835205
251,4.578591823577881
252,4.546595573425293
253,4.664533615112305
254,4.514479637145996
255,4.118495464324951
256,4.613656520843506
257,4.526472091674805
258,4.535322189331055
259,4.404618263244629
260,4.196856498718262
261,4.7568583488464355
262,4.246097564697266
263,4.877561092376709
264,4.779129981994629
265,4.578202247619629
266,4.4621076583862305
267,4.7671003341674805
268,4.7318315505981445
269,4.3241682052612305
270,4.251180648803711
271,4.4607086181640625
272,4.682398796081543
273,4.728527069091797
274,4.753705978393555
275,4.645455360412598
276,4.143424987792969
277,4.347097396850586
278,4.659204483032227
279,4.92152738571167
280,4.700775146484375
281,4.89117431640625
282,4.312264919281006
283,3.8329896926879883
284,4.316656112670898
285,4.622457504272461
286,5.05316686630249
287,4.583569049835205
288,4.3236403465271
289,4.496419906616211
290,4.3150529861450195
291,4.3919267654418945
292,4.343560695648193
293,4.647800445556641
294,4.7868804931640625
295,4.700004577636719
296,4.742025852203369
297,4.685319423675537
298,4.380239486694336
299,4.190966606140137
